year,fantasy_team,qb_edge,rb_edge,te_edge,wr_edge,qb_points,rb_points,te_points,wr_points,total_positional_edge,best_position,worst_position,overall_edge_rank
2018,Big Sack Jack,-99.86,-8.101818181818178,80.64545454545454,111.82000000000001,223.82,380.72,162.4,426.5,84.50363636363637,WR,QB,3.0
2018,Dillon Panthers,32.44545454545455,-89.02545454545456,-8.700000000000001,120.46,345.1,306.54,80.5,434.41999999999996,55.17999999999998,WR,RB,4.0
2018,Ginger FC 🏆🏆,-10.710909090909091,-82.74181818181819,-17.645454545454548,-67.96181818181819,305.53999999999996,312.3,72.3,261.7,-179.06000000000003,QB,RB,12.0
2018,Joe Mantegna,69.84181818181818,-47.0690909090909,80.42727272727272,-99.92545454545453,379.38,345.0,162.2,232.4,3.274545454545475,TE,WR,6.0
2018,Malle ❤️ 🐸,41.10727272727274,-67.90545454545455,-39.57272727272727,-57.38000000000001,353.04,325.9,52.2,271.4,-123.75090909090909,QB,RB,11.0
2018,Pop Lockett Drop it,27.165454545454534,112.42181818181817,2.645454545454543,24.91818181818181,340.26,491.2,90.9,346.84,167.15090909090907,RB,TE,1.0
2018,Post Mahomes,18.1109090909091,79.3672727272727,-34.77272727272728,37.965454545454556,331.96,460.9,56.6,358.8,100.67090909090908,RB,TE,2.0
2018,The Big Gronkowski,5.4999999999999964,-63.869090909090914,-19.500000000000004,6.329090909090926,320.4,329.6,70.6,329.8,-71.53999999999999,WR,RB,10.0
2018,ThreatLevelMidnight,-38.98727272727272,19.258181818181807,-4.554545454545453,14.292727272727287,279.62,405.8,84.3,337.1,-9.990909090909076,RB,QB,8.0
2018,Uncle Rico,-39.22727272727273,63.003636363636375,-43.06363636363636,-36.10727272727271,279.4,445.9,49.0,290.9,-55.39454545454542,RB,TE,9.0
2018,Voldemort,-47.19090909090909,94.96727272727271,1.4454545454545396,-57.57636363636364,272.1,475.2,89.8,271.22,-8.354545454545471,RB,WR,7.0
2018,malle_dips_pouches,41.80545454545456,-10.305454545454552,2.645454545454541,3.165454545454537,353.68,378.7,90.89999999999999,326.9,37.310909090909085,QB,RB,5.0
2019,Big Sack Jack,-41.019999999999996,-62.59272727272728,20.745454545454546,112.72181818181818,255.64,303.9,102.0,404.4,29.85454545454544,WR,RB,5.0
2019,Ginger FC 🏆🏆,-41.587272727272726,-47.75636363636364,-38.38181818181818,68.45272727272726,255.12,317.5,47.8,363.82,-59.27272727272729,WR,RB,7.0
2019,Joe Mantegna,21.0090909090909,-159.68363636363637,24.89090909090909,47.09272727272729,312.5,214.9,105.8,344.24,-66.69090909090909,WR,RB,9.0
2019,Malle ❤️ 🐸,28.42727272727272,-172.77454545454543,-44.38181818181818,41.158181818181816,319.3,202.9,42.3,338.8,-147.57090909090908,WR,RB,12.0
2019,Patty Primetimes,112.29636363636364,43.770909090909086,108.89090909090908,-40.76909090909092,396.18,401.4,182.8,263.7,224.18909090909088,QB,WR,1.0
2019,Pop Lockett Drop it,43.56909090909091,-42.192727272727254,5.254545454545452,95.61636363636364,333.18,322.6,87.8,388.72,102.24727272727276,WR,RB,4.0
2019,Post Mahomes,43.52545454545454,108.3527272727273,4.709090909090902,-51.56909090909091,333.14,460.6,87.3,253.8,105.01818181818182,RB,WR,3.0
2019,The Big Gronkowski,-60.04545454545453,20.010909090909106,-25.50909090909091,-31.714545454545465,238.20000000000002,379.62,59.599999999999994,272.0,-97.2581818181818,RB,QB,11.0
2019,ThreatLevelMidnight,-76.23454545454547,113.91636363636366,-6.090909090909091,-121.71454545454546,223.36,465.70000000000005,77.4,189.5,-90.12363636363636,RB,WR,10.0
2019,Uncle Rico,-49.04909090909091,-66.08363636363634,10.600000000000001,61.667272727272724,248.28,300.7,92.7,357.6,-42.865454545454526,WR,RB,6.0
2019,Voldemort,21.532727272727264,214.93454545454546,-25.61818181818182,-103.05999999999999,312.98,558.3000000000001,59.5,206.60000000000002,107.78909090909093,RB,WR,2.0
2019,malle_dips_pouches,-2.423636363636371,50.098181818181814,-35.10909090909091,-77.88181818181818,291.02,407.2,50.8,229.68,-65.31636363636363,RB,WR,8.0
2020,Big Sack Jack,55.87090909090908,-48.08181818181819,-13.316363636363636,-78.09090909090908,385.08,332.8,98.4,342.42,-83.61818181818182,QB,WR,11.0
2020,Ginger FC 🏆🏆,57.52909090909089,-126.95454545454547,-48.443636363636365,83.45090909090905,386.6,260.5,66.2,490.5,-34.4181818181819,WR,RB,9.0
2020,Joe Mantegna,-0.3545454545454767,42.68181818181817,6.996363636363633,-97.55272727272727,333.53999999999996,416.0,117.02,324.58,-48.229090909090935,RB,WR,10.0
2020,Malle ❤️ 🐸,-17.547272727272745,88.28181818181818,101.40363636363637,7.2618181818181675,317.78000000000003,457.8,203.56,420.65999999999997,179.39999999999998,TE,QB,1.0
2020,Patty Primetimes,-46.36909090909093,-82.99090909090911,11.774545454545457,-98.40363636363635,291.36,300.8,121.4,323.8,-215.98909090909095,TE,WR,12.0
2020,Pop Lockett Drop it,52.772727272727245,34.718181818181804,-35.57090909090909,41.34181818181818,382.24,408.7,78.0,451.9,93.26181818181814,QB,TE,3.0
2020,Post Mahomes,35.29636363636363,12.681818181818162,-7.534545454545455,-21.47272727272729,366.22,388.5,103.7,394.32,18.97090909090905,QB,WR,4.0
2020,The Big Gronkowski,-103.51090909090911,106.5,55.192727272727275,-39.472727272727276,238.98,474.5,161.2,377.82,18.70909090909089,RB,QB,5.0
2020,ThreatLevelMidnight,-93.93272727272729,28.827272727272728,-41.78909090909091,102.1490909090909,247.76,403.3,72.3,507.64,-4.745454545454571,WR,QB,7.0
2020,Uncle Rico,4.227272727272716,69.29999999999998,-4.0436363636363595,-94.03999999999998,337.74,440.4,106.9,327.8,-24.556363636363635,RB,WR,8.0
