year,week,winner,loser,team_1_score,team_2_score,margin
2022,5,Ginger FC,Malle ❤️ 🐸,76.16,182.3,106.14000000000001
2021,13,Joe Mantegna,Uncle Rico,49.72,144.18,94.46000000000001
2021,11,Joe Mantegna,Big Sack Jack,161.38,71.4,89.97999999999999
2023,8,Uncle Rico,Voldemort,154.62,66.88,87.74000000000001
2021,5,Uncle Rico,Post Mahomes,191.08,103.96,87.12000000000002
2024,1,Patty Primetimes,Uncle Rico,71.34,156.68,85.34
2017,1,Hello Harvard,Joe Mantegna,48.22,132.38,84.16
2024,5,Post Mahomes,Uncle Rico,93.64,173.32,79.67999999999999
2025,7,Ginger FC,Malle ❤️ 🐸,86.04,165.7,79.65999999999998
2021,8,The Big Gronkowski,Big Sack Jack,148.6,69.1,79.5
2020,5,Big Sack Jack,Patty Primetimes,155.5,77.3,78.2
2022,3,malle_dips_pouches,Voldemort,82.0,157.92,75.91999999999999
2018,4,Pop Lockett Drop it,Uncle Rico,84.62,158.96,74.34
2022,2,malle_dips_pouches,Uncle Rico,95.5,168.52,73.02000000000001
2023,3,Malle ❤️ 🐸,Ginger FC,127.68,55.28,72.4
2025,8,Patty Primetimes,Pop Lockett Drop it,97.72,169.62,71.9
2020,13,Post Mahomes,Ginger FC,139.62,68.52,71.10000000000001
2022,12,malle_dips_pouches,Patty Primetimes,142.66,72.0,70.66
2017,2,Dillon Panthers,Hello Harvard,131.92,61.28,70.63999999999999
2018,3,Pop Lockett Drop it,Ginger FC,127.26,56.9,70.36000000000001
2025,8,Uncle Rico,ThreatLevelMidnight,134.18,64.58,69.60000000000001
2019,10,Voldemort,Ginger FC,136.34,67.08,69.26
2024,14,malle_dips_pouches,Joe Mantegna,57.44,126.18,68.74000000000001
2025,5,Uncle Rico,Ginger FC,154.78,86.74,68.04
2025,7,ThreatLevelMidnight,malle_dips_pouches,125.42,57.74,67.68
